State,Firewood,LPG,Others,Other natural sources,Other natural gas
Jammu & Kashmir,26.8,72.74,0.46,,
Himachal Pradesh,51.24,45.64,3.12,,
Punjab,6.87,89.54,1.01,2.58,
Chandigarh,0.14,98.01,1.84,,
Uttarakhand,30.14,68.14,1.27,0.05,0.41
Haryana,19.76,74.02,2.44,3.77,
Delhi,0.1,85.35,1.97,0.32,12.27
Rajasthan,56.77,40.45,2.26,0.4,0.12
Uttar Pradesh,38.67,55,0.49,5.37,0.48
Bihar,39.45,42.4,11.23,6.92,
Sikkim,13.25,84.15,2.56,,0.05
Arunachal Pradesh,33.27,66.66,0.08,,
Nagaland,46.12,53.84,,,
Manipur,16.47,82.86,0.55,0.09,0.02
Mizoram,3.61,96.37,0.02,,
Tripura,62,36.34,0.01,,1.6
Meghalaya,65.96,29.29,2.78,1.89,
Assam,55.51,44.19,0.21,,0.08
West Bengal,56.14,40.5,1.81,1.26,
Jharkhand,60.09,30.47,1.18,8.26,
Odisha,64.74,25.68,8.87,0.71,
Chhattisgarh,66.88,30.13,2.65,0.33,
Madhya Pradesh,52.21,46.19,0.49,0.74,0.36
Gujarat,19.33,63.25,2.93,0.11,14.39
Daman & Diu,16.26,76.29,5.27,,2.18
Maharashtra,15.94,76.46,3.46,0.33,3.8
Andhra Pradesh,7.17,87.8,4.98,0.04,0
Karnataka,10.31,82.61,7,0.04,0.04
Goa,1.12,98.5,0.38,,
Lakshadweep,18.52,71.68,9.79,,
Kerala,29.53,66.29,4.01,0.17,
Tamil Nadu,9.21,83.56,7.09,0.01,
Puducherry,2.8,91.6,5.59,,
A & N Islands,4.38,89.37,6.25,,
Telangana,1.16,84.41,14.43,,
Ladakh,0.4,99.6,,,